,Experiment,Bar,min_row,min_col,max_row,max_col,Orientation,Width,Length,Bra_init_mean,Bra_init_std,Bra_final_mean,Bra_final_std,H2B_init_mean,H2B_init_std,H2B_final_mean,H2B_final_std,Ncells_init,Ncells_final,frame0
27,20240317,13,794,1262,968,1306,vertical,44,174,3453.3536679670983,1010.3658358111328,2156.542818666594,661.2592284473062,10443.788584125992,2369.208900077504,12291.860844542509,2187.8354443176886,88.0,85.0,16.0
28,20240317,14,1071,531,1202,575,vertical,44,131,2700.480751404364,910.8142071435668,2049.7877743540107,1056.7048349098177,8373.631956017281,2276.5873857818474,10196.750935810303,2670.636300882552,60.0,64.0,16.0
29,20240317,15,1072,230,1203,274,vertical,44,131,3316.195469960704,943.3074001744424,2260.8479731988227,993.9350997419676,9705.76066699481,1731.1537412022694,10923.15847407113,2985.30717042642,61.0,64.0,16.0
30,20240317,16,1075,378,1249,422,vertical,44,174,3596.3986694984364,1199.7370642809492,2896.1569047576886,1296.0694040516526,10687.253953625255,2015.8456355024437,12170.844673753234,2927.572823259223,129.0,109.0,16.0
31,20240317,17,1076,673,1207,717,vertical,44,131,3178.7442120525075,1030.7227577828726,2465.296543201426,1035.5748856945645,9486.375000913638,2362.080170474833,11535.269615318652,2255.3002812447726,63.0,68.0,16.0
32,20240317,18,1076,825,1250,869,vertical,44,174,3569.403314596875,1352.627832546427,2542.5649045325763,990.3324659010708,10199.690938666628,2110.570301907482,10941.438674308216,2029.92954562476,87.0,79.0,16.0
33,20240317,19,1076,974,1207,1018,vertical,44,131,3113.768065954563,861.5661542473634,2242.768928344118,848.8892880879089,9112.270487684124,2102.9222274442327,10781.104804678944,2391.473659337293,60.0,58.0,16.0
34,20240317,20,1078,1114,1209,1158,vertical,44,131,3519.603255310682,919.8653247285235,2411.3409724028083,967.9940570381756,10192.747302390391,2186.7274322305293,11407.206750989735,2442.7286873614235,87.0,80.0,16.0
35,20240317,21,1078,1266,1252,1310,vertical,44,174,3063.5497027302745,1358.3402688068354,2119.018218799577,929.147701317825,9053.333622024444,1806.5639315564265,11035.674905416325,2305.9980134835973,72.0,75.0,16.0
36,20240317,22,1308,228,1525,272,vertical,44,217,3728.976604535477,909.6305308624052,2835.139959662284,1231.6289980624151,10809.586762625417,1825.74849555442,12303.35662274759,2627.611591022514,134.0,125.0,16.0
37,20240317,23,1311,84,1528,128,vertical,44,217,3105.383239920004,906.98306297998,2183.88812289036,805.0235647619963,9526.406312946356,2028.4188537766008,11313.938784137395,2471.794400325339,134.0,127.0,16.0
38,20240317,24,1312,527,1529,571,vertical,44,217,3394.686541336013,1386.0950676131736,2437.505172003905,935.8673881596598,10270.513309897491,2159.908212401755,11662.876234508609,2747.630598740205,142.0,89.0,16.0
39,20240317,25,1313,671,1530,715,vertical,44,217,3290.460467928967,1049.3133101494373,2432.4853640660663,1017.5197912285932,9558.116779307778,2126.9328043292853,11282.698832939066,1933.031182643092,100.0,116.0,16.0
40,20240317,26,1315,1112,1532,1156,vertical,44,217,3422.212506528977,946.2930306748784,2527.712867952905,981.3365973805188,9878.070859595144,2131.295459999369,11089.501409547578,1970.318308432835,112.0,75.0,16.0
