,Unnamed: 0,t,dominant_mode,dscore,amplitude,is_polarized_mode,is_polarized_dscore,pattern_group,alpha,L,beta_factor,rho0
140584,4,2.4242424242424243,1.25,0.1255267331909176,0.9393806672525892,False,False,3,20.0,3.1724137931034484,1.0,0.4
140617,4,2.4242424242424243,0.5,0.8711560431699404,0.9737147808926032,True,True,1,20.0,3.1724137931034484,1.0,0.4
140650,4,2.4242424242424243,0.5,0.8223325892771054,0.9753905186836764,True,True,1,20.0,3.1724137931034484,1.0,0.4
140683,4,2.4242424242424243,1.25,0.3309107019953603,0.9604104149054378,False,True,3,20.0,3.1724137931034484,1.0,0.4
140716,4,2.4242424242424243,1.25,0.2196436148097153,0.951067643255914,False,False,3,20.0,3.1724137931034484,1.0,0.4
140749,4,2.4242424242424243,1.25,0.1103040413587592,0.9368786135818444,False,False,3,20.0,3.1724137931034484,1.0,0.4
140782,4,2.4242424242424243,0.5,0.700616756855933,0.9500114016334036,True,True,1,20.0,3.1724137931034484,1.0,0.4
140815,4,2.4242424242424243,1.25,0.5485054974976918,0.966270149756246,False,True,3,20.0,3.1724137931034484,1.0,0.4
140848,4,2.4242424242424243,1.0,0.4323270796722638,0.9539145223981051,False,True,2,20.0,3.1724137931034484,1.0,0.4
140881,4,2.4242424242424243,0.5,0.6694450515409798,0.9319856618961796,True,True,1,20.0,3.1724137931034484,1.0,0.4
140914,4,2.4242424242424243,1.0,0.6270507097658422,0.9496931522829564,False,True,2,20.0,3.1724137931034484,1.0,0.4
140947,4,2.4242424242424243,1.25,0.2374831416230193,0.952968286278264,False,False,3,20.0,3.1724137931034484,1.0,0.4
140980,4,2.4242424242424243,0.5,0.6943440884680582,0.9149657496250978,True,True,1,20.0,3.1724137931034484,1.0,0.4
141013,4,2.4242424242424243,1.25,0.1026903907883451,0.9354545578053513,False,False,3,20.0,3.1724137931034484,1.0,0.4
141046,4,2.4242424242424243,1.25,0.2016537735733727,0.9491378379629628,False,False,3,20.0,3.1724137931034484,1.0,0.4
141079,4,2.4242424242424243,1.0,0.1147990936881374,0.9516555395751224,False,False,2,20.0,3.1724137931034484,1.0,0.4
141112,4,2.4242424242424243,0.5,0.8280903748512449,0.973186300784496,True,True,1,20.0,3.1724137931034484,1.0,0.4
141145,4,2.4242424242424243,0.5,0.9238691564802552,0.939112184324407,True,True,1,20.0,3.1724137931034484,1.0,0.4
141178,4,2.4242424242424243,0.5,0.7051684576221549,0.9498045336113796,True,True,1,20.0,3.1724137931034484,1.0,0.4
141211,4,2.4242424242424243,0.5,0.7277606213391433,0.9723522250749704,True,True,1,20.0,3.1724137931034484,1.0,0.4
141244,4,2.4242424242424243,1.25,0.2886803606013087,0.9575574016154142,False,False,3,20.0,3.1724137931034484,1.0,0.4
141277,4,2.4242424242424243,1.25,0.186663063482468,0.9469062551240648,False,False,3,20.0,3.1724137931034484,1.0,0.4
141310,4,2.4242424242424243,0.5,0.9225780774761616,0.9408188625945731,True,True,1,20.0,3.1724137931034484,1.0,0.4
141343,4,2.4242424242424243,1.25,0.0560691708931531,0.9274282124962198,False,False,3,20.0,3.1724137931034484,1.0,0.4
141376,4,2.4242424242424243,1.0,0.4071759106444946,0.954073289784769,False,True,2,20.0,3.1724137931034484,1.0,0.4
141409,4,2.4242424242424243,1.0,0.3149661679663518,0.9539560773111638,False,True,2,20.0,3.1724137931034484,1.0,0.4
141442,4,2.4242424242424243,1.5,0.621808811576435,0.8739271853116205,False,True,3,20.0,3.1724137931034484,1.0,0.4
141475,4,2.4242424242424243,1.25,0.0648674055719201,0.9236134162564172,False,False,3,20.0,3.1724137931034484,1.0,0.4
141508,4,2.4242424242424243,1.25,0.4392363655837901,0.9663016164169655,False,True,3,20.0,3.1724137931034484,1.0,0.4
141541,4,2.4242424242424243,0.5,0.6074081023551193,0.9694200654090211,True,True,1,20.0,3.1724137931034484,1.0,0.4
141574,4,2.4242424242424243,1.0,0.6413708547970554,0.9506088331982564,False,True,2,20.0,3.1724137931034484,1.0,0.4
141607,4,2.4242424242424243,0.5,0.9328959571433932,0.9576876230446194,True,True,1,20.0,3.1724137931034484,1.0,0.4
141640,4,2.4242424242424243,0.5,0.8651990380975072,0.9519639498592772,True,True,1,20.0,3.1724137931034484,1.0,0.4
141673,4,2.4242424242424243,0.5,0.687197764487712,0.9724981141605068,True,True,1,20.0,3.1724137931034484,1.0,0.4
141706,4,2.4242424242424243,0.5,0.8274834462091035,0.9763376533741428,True,True,1,20.0,3.1724137931034484,1.0,0.4
141739,4,2.4242424242424243,1.25,0.0263910248238462,0.9212850833471936,False,False,3,20.0,3.1724137931034484,1.0,0.4
141772,4,2.4242424242424243,1.0,0.1358725878875097,0.9518789548185912,False,False,2,20.0,3.1724137931034484,1.0,0.4
141805,4,2.4242424242424243,1.0,0.1254544075515782,0.9517894372287672,False,False,2,20.0,3.1724137931034484,1.0,0.4
