,alpha,L,beta_factor,rho0,poltime_mode_mean,poltime_mode_std,poltime_mode_count,poltime_dscore_mean,poltime_dscore_std,poltime_dscore_count
21,15.0,2.7333333333333334,0.5,0.4,6.35635,2.449357971432968,100,4.5045,2.80070477241394,100
22,15.0,2.7333333333333334,0.8,0.4,0.65065,1.6916783332931031,100,0.25025,1.0963097823557393,100
23,15.0,2.7333333333333334,1.2,0.4,1.9519499999999999,2.8361666666666663,100,0.95095,2.3264401095522182,100
24,15.0,2.7333333333333334,1.5,0.4,8.7087,3.457334731327652,100,6.65665,3.340834896482548,100
25,15.0,2.935897435897436,0.8,0.4,2.4524500000000002,2.8002530094023057,100,1.001,2.1341391707196604,100
26,15.0,2.935897435897436,1.0,0.4,0.1001,0.7042299971521301,100,0.05005,0.5005,100
27,15.0,2.935897435897436,1.2,0.4,4.5045,2.412406014289008,100,2.65265,2.9720862528608496,100
28,15.0,2.935897435897436,1.5,0.4,14.46445,4.766509580744943,100,10.560550000000001,4.97431985579715,100
29,15.0,3.1384615384615384,0.5,0.4,15.1151,5.322527688983872,100,11.011,5.129832139337287,100
30,15.0,3.1384615384615384,0.8,0.4,4.45445,2.2377387457977402,100,2.05205,2.85395402614221,100
31,15.0,3.1384615384615384,1.0,0.4,0.25025,1.0963097823557395,100,0.0,0.0,100
32,15.0,3.1384615384615384,1.2,0.4,8.2082,4.799573082866619,100,5.9559500000000005,4.250158980686619,100
33,15.0,3.1384615384615384,1.5,0.4,22.7227,7.093137223166253,100,17.46745,6.76727421123158,100
34,15.0,3.341025641025641,0.8,0.4,8.4084,4.603676719029402,100,5.65565,4.535847712635669,100
35,15.0,3.341025641025641,1.0,0.4,0.7006999999999999,1.7454191155389838,100,0.2002,0.9857166597624964,100
36,15.0,3.341025641025641,1.2,0.4,14.214201000000001,8.226213862207002,100,10.660651,8.376634357418128,100
37,15.0,3.341025641025641,1.5,0.4,37.437417,15.148909551709316,100,28.128107,14.901343798709036,100
38,15.0,3.543589743589744,0.5,0.4,35.135111,14.751162714959491,100,26.176154999999998,14.783283279149831,100
39,15.0,3.543589743589744,0.8,0.4,12.562549999999998,5.623725556860763,100,8.25825,5.435192486114095,100
40,15.0,3.543589743589744,1.0,0.4,1.9019,4.010314465364419,100,1.001,3.100832325539566,100
41,15.0,3.543589743589744,1.5,0.4,60.610622000000006,18.52180848965867,100,47.047044,18.6457894336091,100
42,15.0,3.746153846153846,0.5,0.4,48.048038999999996,15.938753933666165,100,34.634617,15.854066263450196,100
43,15.0,3.746153846153846,0.8,0.4,18.668651,8.823836787178617,100,12.4124,8.580312957255373,100
44,15.0,3.746153846153846,1.2,0.4,37.137118,15.893916470892664,100,28.328312,15.766678750134904,100
45,15.0,3.746153846153846,1.5,0.4,94.49450800000001,30.284081675521094,100,73.573584,30.45256935012852,100
46,15.0,3.948717948717949,0.5,0.4,70.970992,27.78375258242759,100,50.800793999999996,27.765501137351134,100
47,15.0,3.948717948717949,0.8,0.4,28.228206999999998,11.678785064884476,100,19.019002,11.40429179642365,100
48,15.0,3.948717948717949,1.0,0.4,11.111102,12.816298733174715,100,6.4564509999999995,11.209485357702398,100
49,15.0,3.948717948717949,1.2,0.4,55.705712000000005,20.527439437687672,100,42.492488,20.239948374581225,100
50,15.0,3.948717948717949,1.5,0.4,149.849848,46.593086996904475,100,118.068069,46.46950450464271,100
51,15.0,4.151282051282051,0.5,0.4,106.806816,37.77838150608542,100,76.076086,37.90395864377351,100
